Tamanho do dicionário: 18335
Quantidade de comparações: 65032513
Tempo para montar a tabela: 1283 milissegundos

Dicionário de palavras:
"Palavra" - Frequência
" " - 7
"  Ibid" - 3
"  Not" - 1
"  Ver" - 1
" And" - 1
" Bersabee" - 1
" Galgal" - 1
" Ibid" - 74
" It" - 1
" Prophets" - 1
" See" - 1
" Such" - 1
" The" - 2
" With" - 1
"A" - 664
"ABDIAS" - 2
"ACCORDING" - 4
"ACHAB" - 2
"ACTS" - 2
"ACTUAL" - 1
"ADONAI" - 1
"AEdituos" - 1
"AGGEUS" - 2
"AGREE" - 2
"AGREEMENT" - 1
"AIN" - 1
"ALEPH" - 1
"ALL" - 1
"AM" - 3
"AMOS" - 3
"AND" - 3
"ANGEL" - 1
"ANTIOCHUS" - 1
"ANY" - 3
"ANYTHING" - 1
"APOCALYPSE" - 1
"APOSTLE" - 8
"APOSTLES" - 2
"AS" - 2
"AS-IS" - 1
"ASCII" - 2
"Aaron" - 355
"Aaronites" - 1
"Aasbai" - 1
"Abaddon" - 2
"Abana" - 1
"Abaran" - 1
"Abarim" - 4
"Abaron" - 1
"Abba" - 3
"Abda" - 2
"Abdeel" - 1
"Abdemelech" - 7
"Abdenago" - 15
"Abdi" - 3
"Abdias" - 11
"Abdiel" - 1
"Abdon" - 8
"Abed" - 2
"Abel" - 17
"Abela" - 5
"Abeldomum" - 1
"Abelmahula" - 1
"Abelmaim" - 1
"Abelmehula" - 1
"Abelmeula" - 1
"Abenboen" - 1
"Abes" - 1
"Abesalom" - 1
"Abesan" - 1
"Abeson" - 1
"Abessalom" - 3
"Abgatha" - 1
"Abhorreth" - 1
"Abi" - 1
"Abia" - 32
"Abialbon" - 1
"Abiam" - 7
"Abiasaph" - 4
"Abiathar" - 34
"Abida" - 2
"Abidan" - 5
"Abide" - 5
"Abiding" - 1
"Abiel" - 3
"Abiezer" - 7
"Abigabaon" - 1
"Abigail" - 18
"Abihaiel" - 1
"Abihail" - 5
"Abilina" - 1
"Abimael" - 2
"Abimelech" - 58
"Abinadab" - 13
"Abinoem" - 4
"Abiram" - 1
"Abiron" - 11
"Abisag" - 6
"Abisai" - 25
"Abisue" - 5
"Abisur" - 2
"Abital" - 2
"Abitob" - 1
"Abiu" - 13
"Abiud" - 3
"Ablesatim" - 1
"Abner" - 61
"Abobus" - 2
"About" - 2
"Above" - 3
"Abraham" - 252
"Abram" - 59
