Tamanho do dicionário: 16388
Tempo para montar a tabela: 266 milissegundos

Dicionário de palavras:
"Palavra" - Frequência
"dost" - 164
"songs" - 9
"hangings" - 17
"augusta" - 1
"assur" - 8
"besiege" - 15
"betraying" - 2
"e-mail" - 1
"ordaineth" - 1
"collections" - 2
"murrain" - 2
"florence" - 1
"condescension" - 1
"scoured" - 1
"teats" - 1
"gessuri" - 8
"tribe" - 277
"wholesome" - 7
"brave" - 2
"prohibiting" - 1
"obedient" - 19
"heth" - 16
"doth" - 274
"joyfulness" - 5
"appointed" - 216
"deplorable" - 1
"portions" - 24
"axaph" - 1
"cabe" - 1
"abasement" - 1
"revenues" - 11
"cutting" - 9
"hesro" - 1
"bunches" - 4
"mother-in" - 1
"prohibition" - 9
"testify" - 19
"libertines" - 2
"outmost" - 1
"cruel" - 24
"shortest" - 1
"gratis" - 4
"frugal" - 1
"apprehended" - 22
"feignest" - 1
"wakened" - 1
"scourge" - 23
"supply" - 7
"pharesites" - 1
"blooming" - 1
"dove" - 29
"dedicate" - 4
"abimael" - 2
"enjoyed" - 3
"hevi" - 1
"fretting" - 1
"experimentally" - 1
"beholding" - 15
"prohet" - 1
"feigneth" - 1
"troglodites" - 1
"acquainted" - 2
"a" - 11603
"hezeci" - 1
"inventors" - 2
"b" - 3
"c" - 14
"d" - 9
"e" - 30
"f" - 13
"seeds" - 9
"inviteth" - 2
"contented" - 4
"i" - 9317
"fireballs" - 1
"tried" - 39
"l" - 3
"diversion" - 1
"bountiful" - 5
"voluble" - 2
"m" - 1
"n" - 1
"o" - 1275
"triumph" - 6
"fighting" - 52
"clothing" - 17
"p" - 2
"removed" - 93
"q" - 1
"s" - 1703
"going" - 351
"t" - 4
"hadrach" - 2
"u" - 8
"hewn" - 6
"down" - 1209
"trier" - 1
"aground" - 1
"scarce" - 11
"sarvia" - 26
"peaceable" - 31
"ninety-six" - 2
"betharaba" - 2
"dwells" - 3
"wintered" - 1
"isboseth" - 17
"jahath" - 4
"glittered" - 1
"scurf" - 2
"showed" - 1
"chalane" - 1
"assemblies" - 7
"nicely" - 1
"forgers" - 2
"fifty-two" - 7
"capharsalama" - 1
"peaceably" - 13
"bridechamber" - 1
"micheas" - 39
"bengaber" - 1
"instead" - 61
"liquids" - 3
"locking" - 1
"shower" - 9
"lightness" - 2
"abilina" - 1
"lapidoth" - 1
"gilonite" - 1
"bill" - 9
"obedience" - 34
"unaccountable" - 1
"superfluous" - 3
"dabereth" - 3
"exactness" - 1
"pensiveness" - 2
"semaath" - 1
"garland" - 1
"never" - 162
"jebusite" - 29
"candle" - 5
"recording" - 1
"filthy" - 19
"looks" - 5
"unlamented" - 1
"destructive" - 1
"scared" - 1
"jercaam" - 1
"cage" - 2
"road" - 5
"servitude" - 7
"forgeth" - 1
"axletrees" - 2
"gabaon" - 41
"beaten" - 32
"nails" - 14
"juniper" - 2
"texts" - 5
"roar" - 20
"creating" - 5
"tune" - 5
"gnat" - 1
"joatham" - 24
"joathan" - 7
"gnaw" - 1
"bind" - 34
"sanhedrim" - 1
"sanhedrin" - 1
"cerethi" - 9
"dawning" - 5
"funerals" - 1
"widow" - 70
"hymeneus" - 2
"robe" - 31
"parenthesis" - 1
"oppressing" - 6
"gimel" - 1
"administer" - 2
"fortieth" - 6
"sapphires" - 3
"thirsting" - 1
"oak" - 19
"salabonite" - 1
"phua" - 5
"superscription" - 1
"behaviour" - 5
"oar" - 1
"ï" - 1
"utterance" - 2
"running" - 57
"reprehends" - 2
"phul" - 5
"ambush" - 18
"epher" - 4
"rehum" - 3
"tyrannized" - 1
"creation" - 19
"latusim" - 1
"phur" - 3
"phut" - 1
"purses" - 1
"prelates" - 3
"athalai" - 1
"multipliest" - 1
"hasebias" - 1
"rock" - 112
"cain" - 26
"oppression" - 15
"foreseeth" - 1
"horned" - 5
"whoremonger" - 1
"ravenous" - 1
"enliven" - 1
"solemnities" - 16
"jemai" - 1
"sixty-four" - 3
"incurred" - 3
"thirty-seventh" - 2
"forbade" - 6
"jeroboam" - 114
"diversity" - 4
"uncertain" - 13
"laments" - 4
"multiplieth" - 8
"hagab" - 1
"likeness" - 51
"inspireth" - 2
"rode" - 6
"menstruous" - 8
"tormented" - 19
"areli" - 1
"adulteresses" - 4
"finished" - 50
"paintest" - 1
"rods" - 20
"berothite" - 5
"acclamation" - 1
"seasonable" - 2
"mauman" - 1
"laudem" - 1
"throughout" - 51
"crossways" - 1
"token" - 10
"cummin" - 3
"abstain" - 11
"finisher" - 1
"finishes" - 1
"orthodoxy" - 1
"cake" - 9
"forever" - 13
"ode" - 1
"painteth" - 1
"image-gods" - 1
"overflowings" - 1
"nourisheth" - 5
"burial" - 18
"seeks" - 1
"hierapolis" - 1
"doctors" - 12
"horrite" - 1
"taphnes" - 4
"bless" - 182
"roes" - 6
"contestation" - 1
